OBJECTID,LABELTEXT,UNIQUEADDRESS,Shape__Length
1,PRICE FRWY-APACHE BLVD STATION,"2338 E APACHE BLVD, TEMPE",595.667723506294
2,SYCAMORE-MAIN ST STATION,"1830 W MAIN ST, MESA",595.722423634634
3,SMITH-MARTIN-APACHE BLVD STATION,"1964 E APACHE BLVD, TEMPE",592.666104435762
4,ALMA SCHOOL-MAIN ST STATION,"1128 W MAIN ST, MESA",592.640645621066
5,COUNTRY CLUB-MAIN ST STATION,"300 W MAIN ST, MESA",592.640819404272
6,CENTER-MAIN ST STATION,"26 E MAIN ST, MESA",592.639959813347
7,MESA-MAIN ST STATION,"424 E MAIN ST, MESA",592.640137959672
8,MESA-GILBERT RD STATION,"1864 E MAIN ST, MESA",599.999546890729
9,MESA-STAPLEY DR STATION,"1310 E MAIN ST, MESA",593.311218154752
10,3RD ST-WASHINGTON ST STATION,"270 E WASHINGTON ST, PHOENIX",492.6659378345
11,3RD ST-JEFFERSON ST STATION,"333 E JEFFERSON ST, PHOENIX",492.665937838221
12,VAN BUREN ST-CENTRAL AVE STATION,"304 CENTRAL AVE, PHOENIX",426.026760945692
13,JEFFERSON ST-1ST AVE STATION,"70 N 1ST AVE, PHOENIX",592.659837175192
14,CENTRAL AVE-WASHINGTON ST STATION,"4 CENTRAL AVE, PHOENIX",341.213797909324
15,VAN BUREN ST-1ST AVE STATION,"303 N 1ST AVE, PHOENIX",412.118118871066
16,12TH ST-JEFFERSON ST STATION,"1228 E JEFFERSON ST, PHOENIX",592.666104435776
17,12TH ST-WASHINGTON ST STATION,"1103 E WASHINGTON ST, PHOENIX",592.666104424581
18,24TH ST-JEFFERSON ST STATION,"2416 E JEFFERSON ST, PHOENIX",592.666104428314
19,38TH ST -WASHINGTON ST STATION,"3763 E WASHINGTON ST, PHOENIX",592.660176110851
20,24TH ST-WASHINGTON ST STATION,"2411 E WASHINGTON ST, PHOENIX",592.666104435762
21,PRIEST DR -WASHINGTON ST STATION,"1166 W WASHINGTON ST, TEMPE",592.660250234478
22,CENTER PKWY -WASHINGTON ST STATION,"70 W WASHINGTON ST, TEMPE",592.65982643889
23,MILL AVE-3RD ST EAST BOUND STATION,"50 W 3RD ST, TEMPE",592.65957314663
24,VETERNS WAY-COLLEGE AVE STATION,"220 E 5TH ST, TEMPE",592.659544734207
25,UNIVERSITY-RURAL WEST BOUND STATION,"UNIVERTY DR AND RURAL RD, TEMPE",592.659047177003
26,UNIVERSITY-RURAL EAST BOUND STATION,"UNIVERTY DR AND RURAL RD, TEMPE",592.659047176849
27,44TH ST -WASHINGTON ST STATION,"4203 E WASHINGTON ST, PHOENIX",592.66017610712
28,DORSEY LN-APACHE BLVD STATION,"1402 E APACHE BLVD, TEMPE",592.659171993335
29,MCCLINTOCK DR-APACHE BLVD STATION,"1822 E APACHE BLVD, TEMPE",592.659172000788
30,MILL AVE-3RD ST WEST BOUND STATION,"50 W 3RD ST, TEMPE",592.65957314663
